Review_scores,Daily_price,Size,Area
85,175,1.5,Manhattan
98,205,1.5,Manhattan
96,285,1.5,Brooklyn
97,103,1.5,Manhattan
97,69,1.5,Brooklyn
92,38,1.5,Staten Island
93,129,1.5,Queens
93,60,1.5,Brooklyn
,90,1.5,Bronx
98,110,1.5,Bronx
92,135,1.5,Brooklyn
87,390,1.5,Manhattan
93,70,1.5,Brooklyn
100,75,1.5,Manhattan
98,60,1.5,Brooklyn
,200,1.5,Manhattan
96,100,1.5,Brooklyn
90,70,1.5,Brooklyn
98,75,1.5,Brooklyn
96,60,1.5,Brooklyn
91,68,1.5,Manhattan
98,115,1.5,Manhattan
98,75,1.5,Brooklyn
,60,1.5,Brooklyn
100,129,1.5,Manhattan
93,130,1.5,Brooklyn
90,95,1.5,Brooklyn
98,75,1.5,Manhattan
100,175,1.5,Brooklyn
97,190,1.5,Brooklyn
99,212,1.5,Manhattan
97,95,1.5,Manhattan
87,135,1.5,Manhattan
96,150,1.5,Brooklyn
99,190,1.5,Brooklyn
95,219,1.5,Manhattan
97,124,1.5,Manhattan
98,135,1.5,Brooklyn
96,122,1.5,Manhattan
84,109,1.5,Manhattan
91,85,1.5,Manhattan
89,145,1.5,Brooklyn
99,199,1.5,Manhattan
99,250,1.5,Brooklyn
97,575,1.5,Manhattan
96,199,1.5,Manhattan
96,150,1.5,Manhattan
99,90,1.5,Manhattan
97,65,1.5,Manhattan
99,130,1.5,Brooklyn
83,155,1.5,Brooklyn
94,500,1.5,Manhattan
99,265,1.5,Manhattan
96,125,1.5,Manhattan
97,200,1.5,Manhattan
100,229,1.5,Brooklyn
94,110,1.5,Bronx
91,110,1.5,Manhattan
90,59,1.5,Brooklyn
60,60,1.5,Manhattan
100,195,1.5,Brooklyn
93,169,1.5,Brooklyn
81,113,1.5,Manhattan
93,115,1.5,Queens
93,149,1.5,Manhattan
93,75,1.5,Brooklyn
94,95,1.5,Brooklyn
96,150,1.5,Manhattan
99,170,1.5,Brooklyn
97,169,1.5,Brooklyn
98,179,1.5,Brooklyn
95,150,1.5,Manhattan
92,135,1.5,Brooklyn
82,120,1.5,Brooklyn
87,65,1.5,Manhattan
100,349,1.5,Brooklyn
91,349,1.5,Brooklyn
80,249,1.5,Brooklyn
97,100,1.5,Brooklyn
96,200,1.5,Brooklyn
96,169,1.5,Manhattan
98,185,1.5,Brooklyn
89,65,1.5,Brooklyn
93,130,1.5,Brooklyn
98,225,1.5,Manhattan
98,179,1.5,Brooklyn
80,150,1.5,Brooklyn
94,159,1.5,Manhattan
94,95,1.5,Manhattan
90,79,1.5,Brooklyn
95,199,1.5,Manhattan
94,69,1.5,Manhattan
89,90,1.5,Brooklyn
94,120,1.5,Brooklyn
98,80,1.5,Queens
,100,1.5,Brooklyn
95,175,1.5,Brooklyn
97,120,1.5,Brooklyn
100,140,1.5,Brooklyn
92,200,1.5,Brooklyn
100,165,1.5,Brooklyn
96,130,1.5,Manhattan
99,60,1.5,Manhattan
100,123,1.5,Brooklyn
94,67,1.5,Manhattan
94,50,1.5,Queens
99,130,1.5,Brooklyn
97,279,1.5,Manhattan
98,100,1.5,Brooklyn
93,212,1.5,Manhattan
96,160,1.5,Brooklyn
83,599,1.5,Brooklyn
98,70,1.5,Queens
85,100,1.5,Brooklyn
98,59,1.5,Manhattan
97,60,1.5,Manhattan
97,135,1.5,Brooklyn
95,175,1.5,Brooklyn
92,120,1.5,Manhattan
98,149,1.5,Manhattan
90,165,1.5,Brooklyn
100,90,1.5,Manhattan
93,225,1.5,Manhattan
92,95,1.5,Brooklyn
,90,1.5,Brooklyn
95,55,1.5,Brooklyn
96,95,1.5,Manhattan
90,199,1.5,Brooklyn
98,211,1.5,Manhattan
96,65,1.5,Manhattan
91,99,1.5,Manhattan
90,85,1.5,Manhattan
92,80,1.5,Brooklyn
90,175,1.5,Brooklyn
96,102,1.5,Brooklyn
,87,1.5,Manhattan
93,190,1.5,Brooklyn
89,200,1.5,Brooklyn
99,165,1.5,Brooklyn
94,110,1.5,Manhattan
99,395,1.5,Manhattan
98,99,1.5,Brooklyn
96,999,1.5,Manhattan
87,189,1.5,Manhattan
73,85,1.5,Manhattan
100,260,1.5,Brooklyn
93,140,1.5,Manhattan
98,165,1.5,Brooklyn
94,97,1.5,Queens
100,125,1.5,Brooklyn
96,130,1.5,Manhattan
92,225,1.5,Brooklyn
94,50,1.5,Brooklyn
96,170,1.5,Brooklyn
96,132,1.5,Manhattan
98,250,1.5,Brooklyn
89,180,1.5,Manhattan
98,141,1.5,Brooklyn
87,64,1.5,Brooklyn
98,249,1.5,Brooklyn
94,79,1.5,Brooklyn
94,225,1.5,Manhattan
94,100,1.5,Brooklyn
87,900,1.5,Brooklyn
91,375,1.5,Manhattan
93,175,1.5,Manhattan
92,150,1.5,Manhattan
97,259,1.5,Manhattan
91,96,1.5,Manhattan
94,145,1.5,Brooklyn
93,95,1.5,Manhattan
95,295,1.5,Manhattan
98,175,1.5,Manhattan
97,451,1.5,Brooklyn
94,155,1.5,Manhattan
,250,1.5,Manhattan
92,69,1.5,Bronx
100,250,1.5,Manhattan
99,155,1.5,Brooklyn
97,129,1.5,Queens
97,98,1.5,Brooklyn
,150,1.5,Brooklyn
94,55,1.5,Manhattan
96,300,1.5,Manhattan
97,38,1.5,Queens
98,175,1.5,Manhattan
88,75,1.5,Manhattan
97,250,1.5,Brooklyn
90,72,1.5,Brooklyn
91,165,1.5,Brooklyn
95,135,1.5,Brooklyn
100,130,1.5,Brooklyn
88,139,1.5,Brooklyn
95,88,1.5,Brooklyn
98,80,1.5,Brooklyn
97,150,1.5,Manhattan
97,200,1.5,Manhattan
97,38,1.5,Queens
87,90,1.5,Brooklyn
99,450,1.5,Brooklyn
84,130,1.5,Brooklyn
91,89,1.5,Brooklyn
95,198,1.5,Manhattan
80,99,1.5,Manhattan
93,140,1.5,Manhattan
100,500,1.5,Brooklyn
98,32,1.5,Queens
93,250,1.5,Manhattan
99,60,1.5,Brooklyn
95,75,1.5,Manhattan
97,350,1.5,Brooklyn
100,205,1.5,Manhattan
100,219,1.5,Brooklyn
91,105,1.5,Brooklyn
92,175,1.5,Manhattan
94,170,1.5,Manhattan
94,75,1.5,Brooklyn
88,37,1.5,Bronx
93,85,1.5,Brooklyn
,106,1.5,Brooklyn
100,79,1.5,Manhattan
97,85,1.5,Brooklyn
96,215,1.5,Manhattan
95,250,1.5,Manhattan
97,49,1.5,Manhattan
96,91,1.5,Brooklyn
93,400,1.5,Manhattan
100,150,1.5,Brooklyn
99,2000,1.5,Manhattan
94,100,1.5,Manhattan
100,550,1.5,Manhattan
95,189,1.5,Manhattan
98,130,1.5,Manhattan
98,300,1.5,Manhattan
97,280,1.5,Queens
94,220,1.5,Queens
95,199,1.5,Manhattan
95,120,1.5,Manhattan
93,125,1.5,Bronx
90,70,1.5,Brooklyn
99,70,1.5,Brooklyn
100,100,1.5,Manhattan
96,99,1.5,Brooklyn
90,250,1.5,Manhattan
99,170,1.5,Brooklyn
97,165,1.5,Manhattan
100,85,1.5,Brooklyn
94,99,1.5,Manhattan
80,255,1.5,Manhattan
96,169,1.5,Brooklyn
93,99,1.5,Brooklyn
98,169,1.5,Manhattan
99,160,1.5,Brooklyn
95,215,1.5,Brooklyn
92,130,1.5,Brooklyn
90,111,1.5,Manhattan
97,139,1.5,Manhattan
96,75,1.5,Queens
96,149,1.5,Manhattan
92,50,1.5,Manhattan
99,43,1.5,Brooklyn
93,42,1.5,Brooklyn
94,85,1.5,Brooklyn
99,105,1.5,Brooklyn
100,265,1.5,Brooklyn
95,68,1.5,Manhattan
95,175,1.5,Manhattan
96,99,1.5,Brooklyn
97,100,1.5,Brooklyn
,90,1.5,Manhattan
91,160,1.5,Manhattan
95,100,1.5,Brooklyn
97,190,1.5,Brooklyn
88,67,1.5,Brooklyn
100,190,1.5,Manhattan
90,248,1.5,Brooklyn
98,100,1.5,Brooklyn
93,95,1.5,Manhattan
95,150,1.5,Manhattan
98,145,1.5,Brooklyn
96,41,1.5,Brooklyn
94,120,1.5,Brooklyn
95,157,1.5,Brooklyn
97,195,1.5,Brooklyn
92,70,1.5,Brooklyn
93,125,1.5,Manhattan
96,185,1.5,Brooklyn
91,145,1.5,Brooklyn
98,50,1.5,Queens
97,185,1.5,Brooklyn
99,150,1.5,Brooklyn
95,250,1.5,Manhattan
100,80,1.5,Manhattan
97,230,1.5,Manhattan
93,100,1.5,Brooklyn
95,79,1.5,Brooklyn
90,200,1.5,Queens
98,300,1.5,Manhattan
91,100,1.5,Brooklyn
93,80,1.5,Manhattan
97,110,1.5,Brooklyn
95,100,1.5,Manhattan
93,55,1.5,Manhattan
94,75,1.5,Brooklyn
91,146,1.5,Manhattan
100,102,1.5,Brooklyn
86,100,1.5,Brooklyn
96,199,1.5,Manhattan
93,127,1.5,Manhattan
95,150,1.5,Brooklyn
93,69,1.5,Manhattan
98,230,1.5,Brooklyn
95,95,1.5,Manhattan
97,79,1.5,Brooklyn
97,140,1.5,Brooklyn
98,191,1.5,Brooklyn
90,75,1.5,Staten Island
98,220,1.5,Brooklyn
93,80,1.5,Brooklyn
92,80,1.5,Brooklyn
97,250,1.5,Manhattan
98,135,1.5,Brooklyn
90,110,1.5,Manhattan
97,100,1.5,Brooklyn
97,130,1.5,Manhattan
94,89,1.5,Queens
100,200,1.5,Brooklyn
96,99,1.5,Brooklyn
98,140,1.5,Manhattan
84,70,1.5,Queens
100,270,1.5,Manhattan
96,110,1.5,Brooklyn
91,179,1.5,Manhattan
95,55,1.5,Queens
97,110,1.5,Manhattan
97,325,1.5,Manhattan
95,75,1.5,Queens
95,45,1.5,Queens
99,300,1.5,Brooklyn
98,89,1.5,Manhattan
94,170,1.5,Manhattan
93,200,1.5,Manhattan
96,180,1.5,Brooklyn
92,325,1.5,Brooklyn
,160,1.5,Manhattan
87,145,1.5,Manhattan
,241,1.5,Manhattan
80,300,1.5,Manhattan
98,75,1.5,Queens
97,100,1.5,Manhattan
,399,1.5,Manhattan
97,85,1.5,Brooklyn
100,80,1.5,Brooklyn
93,360,1.5,Manhattan
98,57,1.5,Brooklyn
97,350,1.5,Brooklyn
100,110,1.5,Brooklyn
99,223,1.5,Brooklyn
98,175,1.5,Manhattan
91,137,1.5,Brooklyn
95,280,1.5,Brooklyn
93,199,1.5,Brooklyn
99,588,1.5,Manhattan
95,42,1.5,Bronx
92,180,1.5,Brooklyn
93,236,1.5,Manhattan
95,85,1.5,Brooklyn
85,135,1.5,Manhattan
96,79,1.5,Queens
89,149,1.5,Manhattan
85,65,1.5,Brooklyn
95,199,1.5,Brooklyn
91,700,1.5,Manhattan
97,246,1.5,Manhattan
75,125,1.5,Manhattan
95,130,1.5,Manhattan
94,100,1.5,Brooklyn
99,260,1.5,Brooklyn
,150,1.5,Brooklyn
88,119,1.5,Manhattan
100,125,1.5,Manhattan
,400,1.5,Manhattan
98,850,1.5,Manhattan
98,129,1.5,Brooklyn
99,140,1.5,Manhattan
99,200,1.5,Manhattan
96,67,1.5,Brooklyn
98,96,1.5,Brooklyn
97,199,1.5,Brooklyn
97,199,1.5,Brooklyn
96,199,1.5,Brooklyn
95,89,1.5,Brooklyn
95,185,1.5,Manhattan
91,81,1.5,Manhattan
94,199,1.5,Brooklyn
97,199,1.5,Brooklyn
96,199,1.5,Brooklyn
98,199,1.5,Brooklyn
98,199,1.5,Brooklyn
100,349,1.5,Brooklyn
100,249,1.5,Brooklyn
97,299,1.5,Brooklyn
97,179,1.5,Brooklyn
100,599,1.5,Brooklyn
90,110,1.5,Brooklyn
97,220,1.5,Brooklyn
98,89,1.5,Brooklyn
90,170,1.5,Brooklyn
97,65,1.5,Brooklyn
99,495,1.5,Manhattan
98,98,1.5,Brooklyn
97,125,1.5,Brooklyn
95,48,1.5,Brooklyn
94,89,1.5,Brooklyn
97,139,1.5,Brooklyn
95,75,1.5,Queens
95,325,1.5,Manhattan
100,195,1.5,Manhattan
97,58,1.5,Manhattan
99,250,1.5,Staten Island
,50,1.5,Staten Island
93,130,1.5,Manhattan
93,125,1.5,Staten Island
91,189,1.5,Manhattan
98,130,1.5,Brooklyn
91,145,1.5,Manhattan
95,101,1.5,Manhattan
99,95,1.5,Manhattan
95,375,1.5,Manhattan
93,153,1.5,Manhattan
93,92,1.5,Brooklyn
88,300,1.5,Manhattan
93,160,1.5,Brooklyn
82,72,1.5,Manhattan
,155,1.5,Manhattan
99,185,1.5,Brooklyn
97,73,1.5,Queens
100,255,1.5,Manhattan
89,85,1.5,Manhattan
100,99,1.5,Brooklyn
96,48,1.5,Brooklyn
98,200,1.5,Manhattan
98,485,1.5,Manhattan
100,350,1.5,Manhattan
90,109,1.5,Manhattan
92,167,1.5,Manhattan
,220,1.5,Manhattan
91,210,1.5,Manhattan
100,55,1.5,Queens
98,50,1.5,Bronx
100,60,1.5,Brooklyn
97,99,1.5,Manhattan
83,279,1.5,Manhattan
91,130,1.5,Manhattan
100,290,1.5,Brooklyn
96,350,1.5,Manhattan
98,50,1.5,Brooklyn
98,95,1.5,Queens
87,45,1.5,Brooklyn
96,85,1.5,Queens
95,40,1.5,Brooklyn
95,250,1.5,Manhattan
90,62,1.5,Brooklyn
96,60,1.5,Brooklyn
97,65,1.5,Brooklyn
82,125,1.5,Manhattan
97,300,1.5,Manhattan
91,180,1.5,Manhattan
87,60,1.5,Manhattan
94,499,1.5,Manhattan
97,100,1.5,Brooklyn
91,60,1.5,Brooklyn
92,1300,1.5,Manhattan
,200,1.5,Manhattan
99,99,1.5,Manhattan
89,110,1.5,Brooklyn
98,135,1.5,Brooklyn
100,110,1.5,Manhattan
90,105,1.5,Brooklyn
94,165,1.5,Brooklyn
100,127,1.5,Brooklyn
97,402,1.5,Brooklyn
87,85,1.5,Manhattan
95,75,1.5,Brooklyn
95,75,1.5,Brooklyn
89,57,1.5,Manhattan
73,30,1.5,Queens
,64,1.5,Brooklyn
97,800,1.5,Brooklyn
91,250,1.5,Brooklyn
97,200,1.5,Manhattan
98,130,1.5,Manhattan
93,90,1.5,Brooklyn
95,90,1.5,Manhattan
97,97,1.5,Brooklyn
89,91,1.5,Brooklyn
96,125,1.5,Brooklyn
,75,1.5,Brooklyn
