Availability,Daily_price,Size,Area
357,37,1.5,Staten Island
297,175,1.5,Manhattan
89,205,1.5,Manhattan
312,285,1.5,Brooklyn
5,103,1.5,Manhattan
34,69,1.5,Brooklyn
345,38,1.5,Staten Island
309,129,1.5,Queens
0,60,1.5,Brooklyn
346,90,1.5,Bronx
365,110,1.5,Bronx
0,135,1.5,Brooklyn
299,390,1.5,Manhattan
257,70,1.5,Brooklyn
323,75,1.5,Manhattan
363,60,1.5,Brooklyn
0,200,1.5,Manhattan
321,100,1.5,Brooklyn
266,70,1.5,Brooklyn
335,75,1.5,Brooklyn
182,60,1.5,Brooklyn
61,68,1.5,Manhattan
95,115,1.5,Manhattan
46,75,1.5,Brooklyn
0,60,1.5,Brooklyn
235,129,1.5,Manhattan
46,130,1.5,Brooklyn
62,95,1.5,Brooklyn
226,75,1.5,Manhattan
42,175,1.5,Brooklyn
331,190,1.5,Brooklyn
66,212,1.5,Manhattan
350,95,1.5,Manhattan
179,135,1.5,Manhattan
247,150,1.5,Brooklyn
281,190,1.5,Brooklyn
3,219,1.5,Manhattan
94,124,1.5,Manhattan
35,135,1.5,Brooklyn
246,122,1.5,Manhattan
0,109,1.5,Manhattan
348,85,1.5,Manhattan
87,145,1.5,Brooklyn
264,199,1.5,Manhattan
181,250,1.5,Brooklyn
266,575,1.5,Manhattan
320,199,1.5,Manhattan
26,150,1.5,Manhattan
105,90,1.5,Manhattan
0,65,1.5,Manhattan
0,130,1.5,Brooklyn
365,155,1.5,Brooklyn
301,500,1.5,Manhattan
296,265,1.5,Manhattan
99,125,1.5,Manhattan
131,200,1.5,Manhattan
41,229,1.5,Brooklyn
29,110,1.5,Bronx
0,110,1.5,Manhattan
90,59,1.5,Brooklyn
58,60,1.5,Manhattan
134,195,1.5,Brooklyn
139,169,1.5,Brooklyn
154,113,1.5,Manhattan
298,115,1.5,Queens
90,149,1.5,Manhattan
0,75,1.5,Brooklyn
8,95,1.5,Brooklyn
143,150,1.5,Manhattan
60,170,1.5,Brooklyn
200,169,1.5,Brooklyn
68,179,1.5,Brooklyn
149,150,1.5,Manhattan
0,135,1.5,Brooklyn
234,120,1.5,Brooklyn
131,65,1.5,Manhattan
28,349,1.5,Brooklyn
29,349,1.5,Brooklyn
29,249,1.5,Brooklyn
0,100,1.5,Brooklyn
109,200,1.5,Brooklyn
274,169,1.5,Manhattan
243,185,1.5,Brooklyn
330,65,1.5,Brooklyn
40,130,1.5,Brooklyn
23,225,1.5,Manhattan
74,179,1.5,Brooklyn
0,150,1.5,Brooklyn
144,159,1.5,Manhattan
89,95,1.5,Manhattan
179,79,1.5,Brooklyn
141,199,1.5,Manhattan
361,69,1.5,Manhattan
355,90,1.5,Brooklyn
244,120,1.5,Brooklyn
360,80,1.5,Queens
365,100,1.5,Brooklyn
107,175,1.5,Brooklyn
347,120,1.5,Brooklyn
0,140,1.5,Brooklyn
42,200,1.5,Brooklyn
365,165,1.5,Brooklyn
226,130,1.5,Manhattan
142,60,1.5,Manhattan
44,123,1.5,Brooklyn
313,67,1.5,Manhattan
88,50,1.5,Queens
80,130,1.5,Brooklyn
163,279,1.5,Manhattan
0,100,1.5,Brooklyn
0,212,1.5,Manhattan
365,160,1.5,Brooklyn
29,599,1.5,Brooklyn
364,70,1.5,Queens
365,100,1.5,Brooklyn
0,59,1.5,Manhattan
195,60,1.5,Manhattan
37,135,1.5,Brooklyn
318,175,1.5,Brooklyn
92,120,1.5,Manhattan
125,149,1.5,Manhattan
39,165,1.5,Brooklyn
0,90,1.5,Manhattan
349,225,1.5,Manhattan
360,95,1.5,Brooklyn
0,90,1.5,Brooklyn
310,55,1.5,Brooklyn
87,95,1.5,Manhattan
252,199,1.5,Brooklyn
328,211,1.5,Manhattan
265,65,1.5,Manhattan
203,99,1.5,Manhattan
21,85,1.5,Manhattan
336,80,1.5,Brooklyn
317,175,1.5,Brooklyn
303,102,1.5,Brooklyn
0,87,1.5,Manhattan
320,190,1.5,Brooklyn
38,200,1.5,Brooklyn
47,165,1.5,Brooklyn
340,110,1.5,Manhattan
148,395,1.5,Manhattan
267,99,1.5,Brooklyn
365,999,1.5,Manhattan
174,189,1.5,Manhattan
0,85,1.5,Manhattan
0,260,1.5,Brooklyn
312,140,1.5,Manhattan
161,165,1.5,Brooklyn
258,97,1.5,Queens
0,125,1.5,Brooklyn
82,130,1.5,Manhattan
76,225,1.5,Brooklyn
161,50,1.5,Brooklyn
195,170,1.5,Brooklyn
0,132,1.5,Manhattan
84,250,1.5,Brooklyn
86,180,1.5,Manhattan
0,141,1.5,Brooklyn
22,64,1.5,Brooklyn
246,249,1.5,Brooklyn
0,79,1.5,Brooklyn
365,225,1.5,Manhattan
172,100,1.5,Brooklyn
363,900,1.5,Brooklyn
0,375,1.5,Manhattan
340,175,1.5,Manhattan
0,150,1.5,Manhattan
333,259,1.5,Manhattan
0,96,1.5,Manhattan
0,145,1.5,Brooklyn
0,95,1.5,Manhattan
345,295,1.5,Manhattan
0,175,1.5,Manhattan
359,451,1.5,Brooklyn
239,155,1.5,Manhattan
0,250,1.5,Manhattan
325,69,1.5,Bronx
53,250,1.5,Manhattan
88,155,1.5,Brooklyn
281,129,1.5,Queens
108,98,1.5,Brooklyn
0,150,1.5,Brooklyn
362,55,1.5,Manhattan
226,300,1.5,Manhattan
288,38,1.5,Queens
290,175,1.5,Manhattan
281,75,1.5,Manhattan
153,250,1.5,Brooklyn
184,72,1.5,Brooklyn
225,165,1.5,Brooklyn
21,135,1.5,Brooklyn
0,130,1.5,Brooklyn
150,139,1.5,Brooklyn
291,88,1.5,Brooklyn
307,80,1.5,Brooklyn
358,150,1.5,Manhattan
163,200,1.5,Manhattan
316,38,1.5,Queens
0,90,1.5,Brooklyn
12,450,1.5,Brooklyn
0,130,1.5,Brooklyn
0,89,1.5,Brooklyn
136,198,1.5,Manhattan
287,99,1.5,Manhattan
86,140,1.5,Manhattan
0,500,1.5,Brooklyn
364,32,1.5,Queens
225,250,1.5,Manhattan
0,60,1.5,Brooklyn
205,75,1.5,Manhattan
0,350,1.5,Brooklyn
107,205,1.5,Manhattan
0,219,1.5,Brooklyn
44,105,1.5,Brooklyn
359,175,1.5,Manhattan
73,170,1.5,Manhattan
0,75,1.5,Brooklyn
263,37,1.5,Bronx
99,85,1.5,Brooklyn
1,106,1.5,Brooklyn
0,79,1.5,Manhattan
118,85,1.5,Brooklyn
17,215,1.5,Manhattan
363,250,1.5,Manhattan
272,49,1.5,Manhattan
291,91,1.5,Brooklyn
269,400,1.5,Manhattan
101,150,1.5,Brooklyn
0,2000,1.5,Manhattan
14,100,1.5,Manhattan
0,550,1.5,Manhattan
340,189,1.5,Manhattan
359,130,1.5,Manhattan
144,300,1.5,Manhattan
365,280,1.5,Queens
355,220,1.5,Queens
108,199,1.5,Manhattan
329,120,1.5,Manhattan
251,125,1.5,Bronx
38,70,1.5,Brooklyn
0,70,1.5,Brooklyn
349,100,1.5,Manhattan
278,99,1.5,Brooklyn
0,250,1.5,Manhattan
348,170,1.5,Brooklyn
0,165,1.5,Manhattan
21,85,1.5,Brooklyn
357,99,1.5,Manhattan
0,255,1.5,Manhattan
331,169,1.5,Brooklyn
0,99,1.5,Brooklyn
214,169,1.5,Manhattan
331,160,1.5,Brooklyn
177,215,1.5,Brooklyn
290,130,1.5,Brooklyn
45,111,1.5,Manhattan
175,139,1.5,Manhattan
92,75,1.5,Queens
0,149,1.5,Manhattan
365,50,1.5,Manhattan
0,43,1.5,Brooklyn
28,42,1.5,Brooklyn
72,85,1.5,Brooklyn
190,105,1.5,Brooklyn
0,265,1.5,Brooklyn
268,68,1.5,Manhattan
32,175,1.5,Manhattan
326,99,1.5,Brooklyn
254,100,1.5,Brooklyn
0,90,1.5,Manhattan
225,160,1.5,Manhattan
0,100,1.5,Brooklyn
195,190,1.5,Brooklyn
0,67,1.5,Brooklyn
0,190,1.5,Manhattan
316,248,1.5,Brooklyn
103,100,1.5,Brooklyn
89,95,1.5,Manhattan
45,150,1.5,Manhattan
285,145,1.5,Brooklyn
213,41,1.5,Brooklyn
263,120,1.5,Brooklyn
0,157,1.5,Brooklyn
284,195,1.5,Brooklyn
84,70,1.5,Brooklyn
5,125,1.5,Manhattan
0,185,1.5,Brooklyn
21,145,1.5,Brooklyn
209,50,1.5,Queens
103,185,1.5,Brooklyn
5,150,1.5,Brooklyn
89,250,1.5,Manhattan
292,80,1.5,Manhattan
63,230,1.5,Manhattan
0,100,1.5,Brooklyn
146,79,1.5,Brooklyn
341,200,1.5,Queens
19,300,1.5,Manhattan
222,100,1.5,Brooklyn
170,80,1.5,Manhattan
228,110,1.5,Brooklyn
89,100,1.5,Manhattan
245,55,1.5,Manhattan
0,75,1.5,Brooklyn
213,146,1.5,Manhattan
347,102,1.5,Brooklyn
37,100,1.5,Brooklyn
30,199,1.5,Manhattan
365,127,1.5,Manhattan
364,150,1.5,Brooklyn
100,69,1.5,Manhattan
0,230,1.5,Brooklyn
0,95,1.5,Manhattan
198,79,1.5,Brooklyn
334,140,1.5,Brooklyn
339,191,1.5,Brooklyn
213,75,1.5,Staten Island
147,220,1.5,Brooklyn
32,80,1.5,Brooklyn
335,80,1.5,Brooklyn
185,250,1.5,Manhattan
271,135,1.5,Brooklyn
211,110,1.5,Manhattan
363,100,1.5,Brooklyn
272,130,1.5,Manhattan
337,89,1.5,Queens
0,200,1.5,Brooklyn
70,99,1.5,Brooklyn
365,140,1.5,Manhattan
365,70,1.5,Queens
229,270,1.5,Manhattan
259,110,1.5,Brooklyn
50,179,1.5,Manhattan
301,55,1.5,Queens
180,110,1.5,Manhattan
105,325,1.5,Manhattan
358,75,1.5,Queens
328,45,1.5,Queens
188,300,1.5,Brooklyn
270,89,1.5,Manhattan
146,170,1.5,Manhattan
365,200,1.5,Manhattan
136,180,1.5,Brooklyn
70,325,1.5,Brooklyn
0,160,1.5,Manhattan
308,145,1.5,Manhattan
226,241,1.5,Manhattan
0,300,1.5,Manhattan
291,75,1.5,Queens
0,100,1.5,Manhattan
0,399,1.5,Manhattan
0,85,1.5,Brooklyn
0,80,1.5,Brooklyn
21,360,1.5,Manhattan
306,57,1.5,Brooklyn
342,350,1.5,Brooklyn
2,110,1.5,Brooklyn
352,223,1.5,Brooklyn
20,175,1.5,Manhattan
295,137,1.5,Brooklyn
72,280,1.5,Brooklyn
73,199,1.5,Brooklyn
323,588,1.5,Manhattan
365,42,1.5,Bronx
315,180,1.5,Brooklyn
316,236,1.5,Manhattan
348,85,1.5,Brooklyn
0,135,1.5,Manhattan
225,79,1.5,Queens
303,149,1.5,Manhattan
350,65,1.5,Brooklyn
347,199,1.5,Brooklyn
318,700,1.5,Manhattan
0,246,1.5,Manhattan
365,125,1.5,Manhattan
91,130,1.5,Manhattan
197,100,1.5,Brooklyn
363,260,1.5,Brooklyn
0,150,1.5,Brooklyn
0,119,1.5,Manhattan
365,125,1.5,Manhattan
365,400,1.5,Manhattan
205,850,1.5,Manhattan
270,129,1.5,Brooklyn
0,140,1.5,Manhattan
0,200,1.5,Manhattan
48,67,1.5,Brooklyn
268,96,1.5,Brooklyn
346,199,1.5,Brooklyn
349,199,1.5,Brooklyn
346,199,1.5,Brooklyn
364,89,1.5,Brooklyn
173,185,1.5,Manhattan
0,81,1.5,Manhattan
349,199,1.5,Brooklyn
349,199,1.5,Brooklyn
340,199,1.5,Brooklyn
331,199,1.5,Brooklyn
314,199,1.5,Brooklyn
29,349,1.5,Brooklyn
29,249,1.5,Brooklyn
29,299,1.5,Brooklyn
75,179,1.5,Brooklyn
29,599,1.5,Brooklyn
0,110,1.5,Brooklyn
329,220,1.5,Brooklyn
92,89,1.5,Brooklyn
285,170,1.5,Brooklyn
0,65,1.5,Brooklyn
364,495,1.5,Manhattan
299,98,1.5,Brooklyn
232,125,1.5,Brooklyn
1,48,1.5,Brooklyn
145,89,1.5,Brooklyn
105,139,1.5,Brooklyn
0,75,1.5,Queens
105,325,1.5,Manhattan
0,195,1.5,Manhattan
0,58,1.5,Manhattan
341,250,1.5,Staten Island
365,50,1.5,Staten Island
41,130,1.5,Manhattan
302,125,1.5,Staten Island
348,189,1.5,Manhattan
0,130,1.5,Brooklyn
0,145,1.5,Manhattan
194,101,1.5,Manhattan
0,95,1.5,Manhattan
0,375,1.5,Manhattan
36,153,1.5,Manhattan
