Occupancy_rate,Daily_price,Size,Area
0.9,150,1.5,Manhattan
4.7,225,1.5,Manhattan
70,125,1.5,Manhattan
70,110,1.5,Manhattan
7.7,175,1.5,Manhattan
57.2,99,1.5,Manhattan
1.7,195,1.5,Manhattan
70,140,1.5,Manhattan
8.1,135,1.5,Manhattan
13.7,900,1.5,Manhattan
70,65,1.5,Manhattan
70,110,1.5,Manhattan
46.4,130,1.5,Manhattan
70,99,1.5,Brooklyn
70,38,1.5,Staten Island
62.7,38,1.5,Staten Island
57.6,129,1.5,Manhattan
70,37,1.5,Staten Island
70,175,1.5,Manhattan
33.1,205,1.5,Manhattan
49.9,285,1.5,Brooklyn
70,103,1.5,Manhattan
70,69,1.5,Brooklyn
70,38,1.5,Staten Island
70,129,1.5,Queens
7.5,60,1.5,Brooklyn
70,90,1.5,Bronx
22.2,110,1.5,Bronx
70,135,1.5,Brooklyn
58.9,390,1.5,Manhattan
17.9,70,1.5,Brooklyn
12.1,75,1.5,Manhattan
25.1,60,1.5,Brooklyn
70,200,1.5,Manhattan
70,100,1.5,Brooklyn
9,70,1.5,Brooklyn
42.7,75,1.5,Brooklyn
70,60,1.5,Brooklyn
70,68,1.5,Manhattan
70,115,1.5,Manhattan
26,75,1.5,Brooklyn
70,60,1.5,Brooklyn
5.6,129,1.5,Manhattan
32.7,130,1.5,Brooklyn
59.3,95,1.5,Brooklyn
10.2,75,1.5,Manhattan
4.3,175,1.5,Brooklyn
28.6,190,1.5,Brooklyn
62.7,212,1.5,Manhattan
55.5,95,1.5,Manhattan
70,135,1.5,Manhattan
70,150,1.5,Brooklyn
36.7,190,1.5,Brooklyn
10.7,219,1.5,Manhattan
54.1,124,1.5,Manhattan
70,135,1.5,Brooklyn
44.4,122,1.5,Manhattan
44.8,109,1.5,Manhattan
65,85,1.5,Manhattan
56.7,145,1.5,Brooklyn
22.7,199,1.5,Manhattan
66.1,250,1.5,Brooklyn
70,575,1.5,Manhattan
9,199,1.5,Manhattan
70,150,1.5,Manhattan
55,90,1.5,Manhattan
70,65,1.5,Manhattan
7.7,130,1.5,Brooklyn
25.2,155,1.5,Brooklyn
21.3,500,1.5,Manhattan
18.3,265,1.5,Manhattan
70,125,1.5,Manhattan
70,200,1.5,Manhattan
19.6,229,1.5,Brooklyn
15.8,110,1.5,Bronx
31.2,110,1.5,Manhattan
16.2,59,1.5,Brooklyn
56.7,60,1.5,Manhattan
35.8,195,1.5,Brooklyn
27.7,169,1.5,Brooklyn
13.2,113,1.5,Manhattan
70,115,1.5,Queens
18.8,149,1.5,Manhattan
1.3,75,1.5,Brooklyn
70,95,1.5,Brooklyn
70,150,1.5,Manhattan
21.5,170,1.5,Brooklyn
70,169,1.5,Brooklyn
14.9,179,1.5,Brooklyn
18.8,150,1.5,Manhattan
3.8,135,1.5,Brooklyn
32,120,1.5,Brooklyn
70,65,1.5,Manhattan
3.4,349,1.5,Brooklyn
3,349,1.5,Brooklyn
0.9,249,1.5,Brooklyn
27.3,100,1.5,Brooklyn
38.4,200,1.5,Brooklyn
70,169,1.5,Manhattan
60.6,185,1.5,Brooklyn
70,65,1.5,Brooklyn
14,130,1.5,Brooklyn
16.2,225,1.5,Manhattan
6.8,179,1.5,Brooklyn
2.1,150,1.5,Brooklyn
70,159,1.5,Manhattan
70,95,1.5,Manhattan
12,79,1.5,Brooklyn
65.7,199,1.5,Manhattan
52.9,69,1.5,Manhattan
70,90,1.5,Brooklyn
38.4,120,1.5,Brooklyn
51.6,80,1.5,Queens
70,100,1.5,Brooklyn
70,175,1.5,Brooklyn
43.9,120,1.5,Brooklyn
5.6,140,1.5,Brooklyn
3,200,1.5,Brooklyn
5.1,165,1.5,Brooklyn
36,130,1.5,Manhattan
58.3,60,1.5,Manhattan
28,123,1.5,Brooklyn
60.2,67,1.5,Manhattan
19.6,50,1.5,Queens
44.8,130,1.5,Brooklyn
64.1,279,1.5,Manhattan
14.9,100,1.5,Brooklyn
58.8,212,1.5,Manhattan
70,160,1.5,Brooklyn
3.8,599,1.5,Brooklyn
5.5,70,1.5,Queens
34,100,1.5,Brooklyn
70,59,1.5,Manhattan
70,60,1.5,Manhattan
38,135,1.5,Brooklyn
70,175,1.5,Brooklyn
26,120,1.5,Manhattan
70,149,1.5,Manhattan
1.4,165,1.5,Brooklyn
0.9,90,1.5,Manhattan
23.5,225,1.5,Manhattan
70,95,1.5,Brooklyn
70,90,1.5,Brooklyn
70,55,1.5,Brooklyn
48.2,95,1.5,Manhattan
14.1,199,1.5,Brooklyn
32,211,1.5,Manhattan
32.7,65,1.5,Manhattan
70,99,1.5,Manhattan
65.3,85,1.5,Manhattan
70,80,1.5,Brooklyn
70,175,1.5,Brooklyn
35,102,1.5,Brooklyn
70,87,1.5,Manhattan
26.5,190,1.5,Brooklyn
22.6,200,1.5,Brooklyn
9.4,165,1.5,Brooklyn
67,110,1.5,Manhattan
34.1,395,1.5,Manhattan
20.9,99,1.5,Brooklyn
6,999,1.5,Manhattan
70,189,1.5,Manhattan
1.3,85,1.5,Manhattan
6,260,1.5,Brooklyn
51.2,140,1.5,Manhattan
70,165,1.5,Brooklyn
43.1,97,1.5,Queens
6,125,1.5,Brooklyn
50.8,130,1.5,Manhattan
17.5,225,1.5,Brooklyn
70,50,1.5,Brooklyn
41.4,170,1.5,Brooklyn
4.3,132,1.5,Manhattan
9,250,1.5,Brooklyn
15.8,180,1.5,Manhattan
8.5,141,1.5,Brooklyn
70,64,1.5,Brooklyn
70,249,1.5,Brooklyn
46.9,79,1.5,Brooklyn
31.6,225,1.5,Manhattan
70,100,1.5,Brooklyn
16.2,900,1.5,Brooklyn
8.5,375,1.5,Manhattan
29.4,175,1.5,Manhattan
9.4,150,1.5,Manhattan
10.1,259,1.5,Manhattan
21.8,96,1.5,Manhattan
3.7,145,1.5,Brooklyn
4.3,95,1.5,Manhattan
70,295,1.5,Manhattan
7.3,175,1.5,Manhattan
36.7,451,1.5,Brooklyn
70,155,1.5,Manhattan
70,250,1.5,Manhattan
70,69,1.5,Bronx
11.1,250,1.5,Manhattan
6.8,155,1.5,Brooklyn
70,129,1.5,Queens
3.4,98,1.5,Brooklyn
70,150,1.5,Brooklyn
49.9,55,1.5,Manhattan
70,300,1.5,Manhattan
70,38,1.5,Queens
70,175,1.5,Manhattan
18.2,75,1.5,Manhattan
42.9,250,1.5,Brooklyn
70,72,1.5,Brooklyn
11.1,165,1.5,Brooklyn
53.8,135,1.5,Brooklyn
1.7,130,1.5,Brooklyn
70,139,1.5,Brooklyn
32,88,1.5,Brooklyn
20.5,80,1.5,Brooklyn
70,150,1.5,Manhattan
47.4,200,1.5,Manhattan
70,38,1.5,Queens
1.3,90,1.5,Brooklyn
29.9,450,1.5,Brooklyn
15.9,130,1.5,Brooklyn
70,89,1.5,Brooklyn
21.3,198,1.5,Manhattan
70,99,1.5,Manhattan
32.9,140,1.5,Manhattan
3.3,500,1.5,Brooklyn
70,32,1.5,Queens
70,250,1.5,Manhattan
70,60,1.5,Brooklyn
16.2,75,1.5,Manhattan
2.6,350,1.5,Brooklyn
1.9,205,1.5,Manhattan
1.3,219,1.5,Brooklyn
70,105,1.5,Brooklyn
47.7,175,1.5,Manhattan
18.8,170,1.5,Manhattan
42.7,75,1.5,Brooklyn
55.5,37,1.5,Bronx
38.4,85,1.5,Brooklyn
70,106,1.5,Brooklyn
6.4,79,1.5,Manhattan
30.7,85,1.5,Brooklyn
16.5,215,1.5,Manhattan
70,250,1.5,Manhattan
70,49,1.5,Manhattan
70,91,1.5,Brooklyn
48.6,400,1.5,Manhattan
14.9,150,1.5,Brooklyn
60,2000,1.5,Manhattan
22.2,100,1.5,Manhattan
44,550,1.5,Manhattan
43.1,189,1.5,Manhattan
46.9,130,1.5,Manhattan
4.7,300,1.5,Manhattan
42,280,1.5,Queens
50,220,1.5,Queens
54.6,199,1.5,Manhattan
44.4,120,1.5,Manhattan
70,125,1.5,Bronx
70,70,1.5,Brooklyn
70,70,1.5,Brooklyn
2.8,100,1.5,Manhattan
70,99,1.5,Brooklyn
0.9,250,1.5,Manhattan
27.7,170,1.5,Brooklyn
26.9,165,1.5,Manhattan
10.2,85,1.5,Brooklyn
44.4,99,1.5,Manhattan
0.4,255,1.5,Manhattan
70,169,1.5,Brooklyn
42.7,99,1.5,Brooklyn
18.2,169,1.5,Manhattan
19.6,160,1.5,Brooklyn
15.4,215,1.5,Brooklyn
70,130,1.5,Brooklyn
33.3,111,1.5,Manhattan
70,139,1.5,Manhattan
70,75,1.5,Queens
10.7,149,1.5,Manhattan
70,50,1.5,Manhattan
70,43,1.5,Brooklyn
37.1,42,1.5,Brooklyn
36.7,85,1.5,Brooklyn
70,105,1.5,Brooklyn
6.4,265,1.5,Brooklyn
70,68,1.5,Manhattan
48.5,175,1.5,Manhattan
70,99,1.5,Brooklyn
70,100,1.5,Brooklyn
70,90,1.5,Manhattan
50,160,1.5,Manhattan
14.1,100,1.5,Brooklyn
62.7,190,1.5,Brooklyn
30.3,67,1.5,Brooklyn
3.4,190,1.5,Manhattan
26.9,248,1.5,Brooklyn
3.8,100,1.5,Brooklyn
70,95,1.5,Manhattan
70,150,1.5,Manhattan
55.9,145,1.5,Brooklyn
26.9,41,1.5,Brooklyn
43.9,120,1.5,Brooklyn
6,157,1.5,Brooklyn
15.4,195,1.5,Brooklyn
53.8,70,1.5,Brooklyn
13.7,125,1.5,Manhattan
6,185,1.5,Brooklyn
20.5,145,1.5,Brooklyn
70,50,1.5,Queens
70,185,1.5,Brooklyn
6.8,150,1.5,Brooklyn
30.3,250,1.5,Manhattan
38,80,1.5,Manhattan
70,230,1.5,Manhattan
4.2,100,1.5,Brooklyn
70,79,1.5,Brooklyn
54,200,1.5,Queens
19.2,300,1.5,Manhattan
14,100,1.5,Brooklyn
70,80,1.5,Manhattan
11.5,110,1.5,Brooklyn
17.1,100,1.5,Manhattan
42.2,55,1.5,Manhattan
24.7,75,1.5,Brooklyn
64.4,146,1.5,Manhattan
42.5,102,1.5,Brooklyn
10.7,100,1.5,Brooklyn
14.5,199,1.5,Manhattan
70,127,1.5,Manhattan
9.8,150,1.5,Brooklyn
27.7,69,1.5,Manhattan
9,230,1.5,Brooklyn
1.7,95,1.5,Manhattan
57.2,79,1.5,Brooklyn
69.1,140,1.5,Brooklyn
70,191,1.5,Brooklyn
33.7,75,1.5,Staten Island
60.6,220,1.5,Brooklyn
70,80,1.5,Brooklyn
70,80,1.5,Brooklyn
66.1,250,1.5,Manhattan
37.5,135,1.5,Brooklyn
70,110,1.5,Manhattan
70,100,1.5,Brooklyn
23,130,1.5,Manhattan
70,89,1.5,Queens
0.4,200,1.5,Brooklyn
18.8,99,1.5,Brooklyn
70,140,1.5,Manhattan
13.2,70,1.5,Queens
0.9,270,1.5,Manhattan
70,110,1.5,Brooklyn
70,179,1.5,Manhattan
10.2,55,1.5,Queens
27.7,110,1.5,Manhattan
41.4,325,1.5,Manhattan
70,75,1.5,Queens
22.6,45,1.5,Queens
19.2,300,1.5,Brooklyn
39.7,89,1.5,Manhattan
70,170,1.5,Manhattan
42.2,200,1.5,Manhattan
66.6,180,1.5,Brooklyn
20.9,325,1.5,Brooklyn
70,160,1.5,Manhattan
70,145,1.5,Manhattan
70,241,1.5,Manhattan
0.9,300,1.5,Manhattan
70,75,1.5,Queens
4.3,100,1.5,Manhattan
70,399,1.5,Manhattan
55.5,85,1.5,Brooklyn
16.8,80,1.5,Brooklyn
17.9,360,1.5,Manhattan
69.1,57,1.5,Brooklyn
19.2,350,1.5,Brooklyn
10.7,110,1.5,Brooklyn
56.3,223,1.5,Brooklyn
7.3,175,1.5,Manhattan
13.7,137,1.5,Brooklyn
2.1,280,1.5,Brooklyn
70,199,1.5,Brooklyn
15.4,588,1.5,Manhattan
62.7,42,1.5,Bronx
70,180,1.5,Brooklyn
17.1,236,1.5,Manhattan
2.1,85,1.5,Brooklyn
2.6,135,1.5,Manhattan
30.7,79,1.5,Queens
70,149,1.5,Manhattan
5.5,65,1.5,Brooklyn
15.4,199,1.5,Brooklyn
63.1,700,1.5,Manhattan
6,246,1.5,Manhattan
20,125,1.5,Manhattan
19.1,130,1.5,Manhattan
3,100,1.5,Brooklyn
70,260,1.5,Brooklyn
70,150,1.5,Brooklyn
23,119,1.5,Manhattan
4.7,125,1.5,Manhattan
70,400,1.5,Manhattan
52.5,850,1.5,Manhattan
70,129,1.5,Brooklyn
70,140,1.5,Manhattan
20.9,200,1.5,Manhattan
6.5,67,1.5,Brooklyn
70,96,1.5,Brooklyn
20.5,199,1.5,Brooklyn
12.4,199,1.5,Brooklyn
29.4,199,1.5,Brooklyn
3,89,1.5,Brooklyn
12.4,185,1.5,Manhattan
30.3,81,1.5,Manhattan
11.9,199,1.5,Brooklyn
11.1,199,1.5,Brooklyn
19.2,199,1.5,Brooklyn
17.1,199,1.5,Brooklyn
22.6,199,1.5,Brooklyn
3.4,349,1.5,Brooklyn
1.7,249,1.5,Brooklyn
3.8,299,1.5,Brooklyn
3,179,1.5,Brooklyn
3,599,1.5,Brooklyn
1.3,110,1.5,Brooklyn
70,220,1.5,Brooklyn
29.4,89,1.5,Brooklyn
70,170,1.5,Brooklyn
17.9,65,1.5,Brooklyn
12.1,495,1.5,Manhattan
70,98,1.5,Brooklyn
64,125,1.5,Brooklyn
70,48,1.5,Brooklyn
70,89,1.5,Brooklyn
65.3,139,1.5,Brooklyn
9.4,75,1.5,Queens
20.1,325,1.5,Manhattan
70,195,1.5,Manhattan
70,58,1.5,Manhattan
11.1,250,1.5,Staten Island
70,50,1.5,Staten Island
1.7,130,1.5,Manhattan
4.3,125,1.5,Staten Island
70,189,1.5,Manhattan
11.1,130,1.5,Brooklyn
5.1,145,1.5,Manhattan
26.5,101,1.5,Manhattan
12.8,95,1.5,Manhattan
5.1,375,1.5,Manhattan
70,153,1.5,Manhattan
29,92,1.5,Brooklyn
70,300,1.5,Manhattan
70,160,1.5,Brooklyn
36.3,72,1.5,Manhattan
3.4,155,1.5,Manhattan
70,185,1.5,Brooklyn
40.5,73,1.5,Queens
58.5,255,1.5,Manhattan
70,85,1.5,Manhattan
70,99,1.5,Brooklyn
70,48,1.5,Brooklyn
3.4,200,1.5,Manhattan
5.1,485,1.5,Manhattan
3.4,350,1.5,Manhattan
70,109,1.5,Manhattan
36,167,1.5,Manhattan
70,220,1.5,Manhattan
32,210,1.5,Manhattan
46.5,55,1.5,Queens
8.5,50,1.5,Bronx
20.5,60,1.5,Brooklyn
43.5,99,1.5,Manhattan
65.6,279,1.5,Manhattan
16.6,130,1.5,Manhattan
2,290,1.5,Brooklyn
30.7,350,1.5,Manhattan
12.8,50,1.5,Brooklyn
70,95,1.5,Queens
11.1,45,1.5,Brooklyn
70,85,1.5,Queens
13.3,40,1.5,Brooklyn
12.8,250,1.5,Manhattan
56.3,62,1.5,Brooklyn
8.5,60,1.5,Brooklyn
20.5,65,1.5,Brooklyn
70,125,1.5,Manhattan
3.8,300,1.5,Manhattan
