income,Occupancy_rate,Size,Area
3255,70,1.5,Manhattan
1260,70,1.5,Manhattan
480,11.5,1.5,Brooklyn
554,15.4,1.5,Manhattan
941,20.9,1.5,Manhattan
39,0.9,1.5,Queens
638,8.5,1.5,Manhattan
5250,70,1.5,Manhattan
41,0.9,1.5,Manhattan
317,4.7,1.5,Manhattan
2625,70,1.5,Manhattan
2310,70,1.5,Manhattan
404,7.7,1.5,Manhattan
1699,57.2,1.5,Manhattan
99,1.7,1.5,Manhattan
2940,70,1.5,Manhattan
328,8.1,1.5,Manhattan
3699,13.7,1.5,Manhattan
1365,70,1.5,Manhattan
2310,70,1.5,Manhattan
1810,46.4,1.5,Manhattan
2079,70,1.5,Brooklyn
798,70,1.5,Staten Island
715,62.7,1.5,Staten Island
2229,57.6,1.5,Manhattan
777,70,1.5,Staten Island
3675,70,1.5,Manhattan
2036,33.1,1.5,Manhattan
4266,49.9,1.5,Brooklyn
2163,70,1.5,Manhattan
1449,70,1.5,Brooklyn
798,70,1.5,Staten Island
2709,70,1.5,Queens
135,7.5,1.5,Brooklyn
1890,70,1.5,Bronx
733,22.2,1.5,Bronx
2835,70,1.5,Brooklyn
6891,58.9,1.5,Manhattan
376,17.9,1.5,Brooklyn
272,12.1,1.5,Manhattan
452,25.1,1.5,Brooklyn
4200,70,1.5,Manhattan
2100,70,1.5,Brooklyn
189,9,1.5,Brooklyn
961,42.7,1.5,Brooklyn
1260,70,1.5,Brooklyn
1428,70,1.5,Manhattan
2415,70,1.5,Manhattan
585,26,1.5,Brooklyn
1260,70,1.5,Brooklyn
217,5.6,1.5,Manhattan
1275,32.7,1.5,Brooklyn
1690,59.3,1.5,Brooklyn
230,10.2,1.5,Manhattan
226,4.3,1.5,Brooklyn
1630,28.6,1.5,Brooklyn
3988,62.7,1.5,Manhattan
1582,55.5,1.5,Manhattan
2835,70,1.5,Manhattan
3150,70,1.5,Brooklyn
2092,36.7,1.5,Brooklyn
703,10.7,1.5,Manhattan
2013,54.1,1.5,Manhattan
2835,70,1.5,Brooklyn
1625,44.4,1.5,Manhattan
1465,44.8,1.5,Manhattan
1658,65,1.5,Manhattan
2466,56.7,1.5,Brooklyn
1355,22.7,1.5,Manhattan
4958,66.1,1.5,Brooklyn
12075,70,1.5,Manhattan
537,9,1.5,Manhattan
3150,70,1.5,Manhattan
1485,55,1.5,Manhattan
1365,70,1.5,Manhattan
300,7.7,1.5,Brooklyn
1172,25.2,1.5,Brooklyn
3195,21.3,1.5,Manhattan
1455,18.3,1.5,Manhattan
2625,70,1.5,Manhattan
4200,70,1.5,Manhattan
1347,19.6,1.5,Brooklyn
521,15.8,1.5,Bronx
1030,31.2,1.5,Manhattan
287,16.2,1.5,Brooklyn
1021,56.7,1.5,Manhattan
2094,35.8,1.5,Brooklyn
1404,27.7,1.5,Brooklyn
447,13.2,1.5,Manhattan
2415,70,1.5,Queens
840,18.8,1.5,Manhattan
29,1.3,1.5,Brooklyn
1995,70,1.5,Brooklyn
3150,70,1.5,Manhattan
1097,21.5,1.5,Brooklyn
3549,70,1.5,Brooklyn
800,14.9,1.5,Brooklyn
846,18.8,1.5,Manhattan
154,3.8,1.5,Brooklyn
1152,32,1.5,Brooklyn
1365,70,1.5,Manhattan
356,3.4,1.5,Brooklyn
314,3,1.5,Brooklyn
67,0.9,1.5,Brooklyn
819,27.3,1.5,Brooklyn
2304,38.4,1.5,Brooklyn
3549,70,1.5,Manhattan
3363,60.6,1.5,Brooklyn
1365,70,1.5,Brooklyn
546,14,1.5,Brooklyn
1094,16.2,1.5,Manhattan
365,6.8,1.5,Brooklyn
95,2.1,1.5,Brooklyn
3339,70,1.5,Manhattan
1995,70,1.5,Manhattan
284,12,1.5,Brooklyn
3922,65.7,1.5,Manhattan
1095,52.9,1.5,Manhattan
1890,70,1.5,Brooklyn
1382,38.4,1.5,Brooklyn
1238,51.6,1.5,Queens
2100,70,1.5,Brooklyn
3675,70,1.5,Brooklyn
1580,43.9,1.5,Brooklyn
235,5.6,1.5,Brooklyn
180,3,1.5,Brooklyn
252,5.1,1.5,Brooklyn
1404,36,1.5,Manhattan
1049,58.3,1.5,Manhattan
1033,28,1.5,Brooklyn
1210,60.2,1.5,Manhattan
294,19.6,1.5,Queens
1747,44.8,1.5,Brooklyn
5365,64.1,1.5,Manhattan
447,14.9,1.5,Brooklyn
3740,58.8,1.5,Manhattan
3360,70,1.5,Brooklyn
683,3.8,1.5,Brooklyn
116,5.5,1.5,Queens
1020,34,1.5,Brooklyn
1239,70,1.5,Manhattan
1260,70,1.5,Manhattan
1539,38,1.5,Brooklyn
3675,70,1.5,Brooklyn
936,26,1.5,Manhattan
3129,70,1.5,Manhattan
69,1.4,1.5,Brooklyn
24,0.9,1.5,Manhattan
1586,23.5,1.5,Manhattan
1995,70,1.5,Brooklyn
1890,70,1.5,Brooklyn
1155,70,1.5,Brooklyn
1374,48.2,1.5,Manhattan
842,14.1,1.5,Brooklyn
2026,32,1.5,Manhattan
638,32.7,1.5,Manhattan
2079,70,1.5,Manhattan
1665,65.3,1.5,Manhattan
1680,70,1.5,Brooklyn
3675,70,1.5,Brooklyn
1071,35,1.5,Brooklyn
1827,70,1.5,Manhattan
1511,26.5,1.5,Brooklyn
1356,22.6,1.5,Brooklyn
465,9.4,1.5,Brooklyn
2211,67,1.5,Manhattan
4041,34.1,1.5,Manhattan
621,20.9,1.5,Brooklyn
1798,6,1.5,Manhattan
3969,70,1.5,Manhattan
33,1.3,1.5,Manhattan
468,6,1.5,Brooklyn
2150,51.2,1.5,Manhattan
3465,70,1.5,Brooklyn
1254,43.1,1.5,Queens
225,6,1.5,Brooklyn
1981,50.8,1.5,Manhattan
1181,17.5,1.5,Brooklyn
1050,70,1.5,Brooklyn
