income,Availability,Size,Area
328,0,1.5,Manhattan
3699,225,1.5,Manhattan
1365,0,1.5,Manhattan
2310,180,1.5,Manhattan
1810,72,1.5,Manhattan
2079,0,1.5,Brooklyn
798,352,1.5,Staten Island
715,339,1.5,Staten Island
2229,333,1.5,Manhattan
777,357,1.5,Staten Island
3675,297,1.5,Manhattan
2036,89,1.5,Manhattan
4266,312,1.5,Brooklyn
2163,5,1.5,Manhattan
1449,34,1.5,Brooklyn
798,345,1.5,Staten Island
2709,309,1.5,Queens
135,0,1.5,Brooklyn
1890,346,1.5,Bronx
733,365,1.5,Bronx
2835,0,1.5,Brooklyn
6891,299,1.5,Manhattan
376,257,1.5,Brooklyn
272,323,1.5,Manhattan
452,363,1.5,Brooklyn
4200,0,1.5,Manhattan
2100,321,1.5,Brooklyn
189,266,1.5,Brooklyn
961,335,1.5,Brooklyn
1260,182,1.5,Brooklyn
1428,61,1.5,Manhattan
2415,95,1.5,Manhattan
585,46,1.5,Brooklyn
1260,0,1.5,Brooklyn
217,235,1.5,Manhattan
1275,46,1.5,Brooklyn
1690,62,1.5,Brooklyn
230,226,1.5,Manhattan
226,42,1.5,Brooklyn
1630,331,1.5,Brooklyn
3988,66,1.5,Manhattan
1582,350,1.5,Manhattan
2835,179,1.5,Manhattan
3150,247,1.5,Brooklyn
2092,281,1.5,Brooklyn
703,3,1.5,Manhattan
2013,94,1.5,Manhattan
2835,35,1.5,Brooklyn
1625,246,1.5,Manhattan
1465,0,1.5,Manhattan
1658,348,1.5,Manhattan
2466,87,1.5,Brooklyn
1355,264,1.5,Manhattan
4958,181,1.5,Brooklyn
12075,266,1.5,Manhattan
537,320,1.5,Manhattan
3150,26,1.5,Manhattan
1485,105,1.5,Manhattan
1365,0,1.5,Manhattan
300,0,1.5,Brooklyn
1172,365,1.5,Brooklyn
3195,301,1.5,Manhattan
1455,296,1.5,Manhattan
2625,99,1.5,Manhattan
4200,131,1.5,Manhattan
1347,41,1.5,Brooklyn
521,29,1.5,Bronx
1030,0,1.5,Manhattan
287,90,1.5,Brooklyn
1021,58,1.5,Manhattan
2094,134,1.5,Brooklyn
1404,139,1.5,Brooklyn
447,154,1.5,Manhattan
2415,298,1.5,Queens
840,90,1.5,Manhattan
29,0,1.5,Brooklyn
1995,8,1.5,Brooklyn
3150,143,1.5,Manhattan
1097,60,1.5,Brooklyn
3549,200,1.5,Brooklyn
800,68,1.5,Brooklyn
846,149,1.5,Manhattan
154,0,1.5,Brooklyn
1152,234,1.5,Brooklyn
1365,131,1.5,Manhattan
356,28,1.5,Brooklyn
314,29,1.5,Brooklyn
67,29,1.5,Brooklyn
819,0,1.5,Brooklyn
2304,109,1.5,Brooklyn
3549,274,1.5,Manhattan
3363,243,1.5,Brooklyn
1365,330,1.5,Brooklyn
546,40,1.5,Brooklyn
1094,23,1.5,Manhattan
365,74,1.5,Brooklyn
95,0,1.5,Brooklyn
3339,144,1.5,Manhattan
1995,89,1.5,Manhattan
284,179,1.5,Brooklyn
3922,141,1.5,Manhattan
1095,361,1.5,Manhattan
1890,355,1.5,Brooklyn
1382,244,1.5,Brooklyn
1238,360,1.5,Queens
2100,365,1.5,Brooklyn
3675,107,1.5,Brooklyn
1580,347,1.5,Brooklyn
235,0,1.5,Brooklyn
180,42,1.5,Brooklyn
252,365,1.5,Brooklyn
1404,226,1.5,Manhattan
1049,142,1.5,Manhattan
1033,44,1.5,Brooklyn
1210,313,1.5,Manhattan
294,88,1.5,Queens
1747,80,1.5,Brooklyn
5365,163,1.5,Manhattan
447,0,1.5,Brooklyn
3740,0,1.5,Manhattan
3360,365,1.5,Brooklyn
683,29,1.5,Brooklyn
116,364,1.5,Queens
1020,365,1.5,Brooklyn
1239,0,1.5,Manhattan
1260,195,1.5,Manhattan
1539,37,1.5,Brooklyn
3675,318,1.5,Brooklyn
936,92,1.5,Manhattan
3129,125,1.5,Manhattan
69,39,1.5,Brooklyn
24,0,1.5,Manhattan
1586,349,1.5,Manhattan
1995,360,1.5,Brooklyn
1890,0,1.5,Brooklyn
1155,310,1.5,Brooklyn
1374,87,1.5,Manhattan
842,252,1.5,Brooklyn
2026,328,1.5,Manhattan
638,265,1.5,Manhattan
2079,203,1.5,Manhattan
1665,21,1.5,Manhattan
1680,336,1.5,Brooklyn
3675,317,1.5,Brooklyn
1071,303,1.5,Brooklyn
1827,0,1.5,Manhattan
1511,320,1.5,Brooklyn
1356,38,1.5,Brooklyn
465,47,1.5,Brooklyn
2211,340,1.5,Manhattan
4041,148,1.5,Manhattan
621,267,1.5,Brooklyn
1798,365,1.5,Manhattan
3969,174,1.5,Manhattan
33,0,1.5,Manhattan
468,0,1.5,Brooklyn
2150,312,1.5,Manhattan
3465,161,1.5,Brooklyn
1254,258,1.5,Queens
225,0,1.5,Brooklyn
1981,82,1.5,Manhattan
1181,76,1.5,Brooklyn
1050,161,1.5,Brooklyn
2111,195,1.5,Brooklyn
170,0,1.5,Manhattan
675,84,1.5,Brooklyn
853,86,1.5,Manhattan
360,0,1.5,Brooklyn
1344,22,1.5,Brooklyn
5229,246,1.5,Brooklyn
1112,0,1.5,Brooklyn
2133,365,1.5,Manhattan
2100,172,1.5,Brooklyn
4374,363,1.5,Brooklyn
956,0,1.5,Manhattan
1544,340,1.5,Manhattan
423,0,1.5,Manhattan
785,333,1.5,Manhattan
628,0,1.5,Manhattan
161,0,1.5,Brooklyn
123,0,1.5,Manhattan
6195,345,1.5,Manhattan
383,0,1.5,Manhattan
4966,359,1.5,Brooklyn
3255,239,1.5,Manhattan
5250,0,1.5,Manhattan
1449,325,1.5,Bronx
833,53,1.5,Manhattan
316,88,1.5,Brooklyn
2709,281,1.5,Queens
100,108,1.5,Brooklyn
3150,0,1.5,Brooklyn
823,362,1.5,Manhattan
6300,226,1.5,Manhattan
798,288,1.5,Queens
3675,290,1.5,Manhattan
410,281,1.5,Manhattan
3218,153,1.5,Brooklyn
1512,184,1.5,Brooklyn
549,225,1.5,Brooklyn
2179,21,1.5,Brooklyn
66,0,1.5,Brooklyn
2919,150,1.5,Brooklyn
845,291,1.5,Brooklyn
492,307,1.5,Brooklyn
3150,358,1.5,Manhattan
2844,163,1.5,Manhattan
798,316,1.5,Queens
35,0,1.5,Brooklyn
4037,12,1.5,Brooklyn
620,0,1.5,Brooklyn
1869,0,1.5,Brooklyn
1265,136,1.5,Manhattan
2079,287,1.5,Manhattan
1382,86,1.5,Manhattan
495,0,1.5,Brooklyn
672,364,1.5,Queens
5250,225,1.5,Manhattan
1260,0,1.5,Brooklyn
365,205,1.5,Manhattan
273,0,1.5,Brooklyn
117,107,1.5,Manhattan
85,0,1.5,Brooklyn
2205,44,1.5,Brooklyn
2504,359,1.5,Manhattan
959,73,1.5,Manhattan
961,0,1.5,Brooklyn
616,263,1.5,Bronx
979,99,1.5,Brooklyn
2226,1,1.5,Brooklyn
152,0,1.5,Manhattan
783,118,1.5,Brooklyn
1064,17,1.5,Manhattan
5250,363,1.5,Manhattan
1029,272,1.5,Manhattan
1911,291,1.5,Brooklyn
5832,269,1.5,Manhattan
671,101,1.5,Brooklyn
36000,0,1.5,Manhattan
666,14,1.5,Manhattan
7260,0,1.5,Manhattan
2444,340,1.5,Manhattan
1829,359,1.5,Manhattan
423,144,1.5,Manhattan
3528,365,1.5,Queens
3300,355,1.5,Queens
3260,108,1.5,Manhattan
1598,329,1.5,Manhattan
2625,251,1.5,Bronx
1470,38,1.5,Brooklyn
1470,0,1.5,Brooklyn
84,349,1.5,Manhattan
2079,278,1.5,Brooklyn
68,0,1.5,Manhattan
1413,348,1.5,Brooklyn
1332,0,1.5,Manhattan
260,21,1.5,Brooklyn
1319,357,1.5,Manhattan
31,0,1.5,Manhattan
3549,331,1.5,Brooklyn
1268,0,1.5,Brooklyn
923,214,1.5,Manhattan
941,331,1.5,Brooklyn
993,177,1.5,Brooklyn
2730,290,1.5,Brooklyn
1109,45,1.5,Manhattan
2919,175,1.5,Manhattan
1575,92,1.5,Queens
478,0,1.5,Manhattan
1050,365,1.5,Manhattan
903,0,1.5,Brooklyn
467,28,1.5,Brooklyn
936,72,1.5,Brooklyn
2205,190,1.5,Brooklyn
509,0,1.5,Brooklyn
1428,268,1.5,Manhattan
2546,32,1.5,Manhattan
2079,326,1.5,Brooklyn
2100,254,1.5,Brooklyn
1890,0,1.5,Manhattan
2400,225,1.5,Manhattan
423,0,1.5,Brooklyn
3574,195,1.5,Brooklyn
609,0,1.5,Brooklyn
194,0,1.5,Manhattan
2001,316,1.5,Brooklyn
114,103,1.5,Brooklyn
1995,89,1.5,Manhattan
3150,45,1.5,Manhattan
2432,285,1.5,Brooklyn
331,213,1.5,Brooklyn
1580,263,1.5,Brooklyn
283,0,1.5,Brooklyn
901,284,1.5,Brooklyn
1130,84,1.5,Brooklyn
514,5,1.5,Manhattan
333,0,1.5,Brooklyn
892,21,1.5,Brooklyn
1050,209,1.5,Queens
3885,103,1.5,Brooklyn
306,5,1.5,Brooklyn
2273,89,1.5,Manhattan
912,292,1.5,Manhattan
4830,63,1.5,Manhattan
126,0,1.5,Brooklyn
1659,146,1.5,Brooklyn
3240,341,1.5,Queens
1728,19,1.5,Manhattan
420,222,1.5,Brooklyn
1680,170,1.5,Manhattan
380,228,1.5,Brooklyn
513,89,1.5,Manhattan
696,245,1.5,Manhattan
556,0,1.5,Brooklyn
2821,213,1.5,Manhattan
1301,347,1.5,Brooklyn
321,37,1.5,Brooklyn
866,30,1.5,Manhattan
2667,365,1.5,Manhattan
441,364,1.5,Brooklyn
573,100,1.5,Manhattan
621,0,1.5,Brooklyn
48,0,1.5,Manhattan
1356,198,1.5,Brooklyn
2902,334,1.5,Brooklyn
4011,339,1.5,Brooklyn
758,213,1.5,Staten Island
4000,147,1.5,Brooklyn
1680,32,1.5,Brooklyn
1680,335,1.5,Brooklyn
4958,185,1.5,Manhattan
1519,271,1.5,Brooklyn
2310,211,1.5,Manhattan
2100,363,1.5,Brooklyn
897,272,1.5,Manhattan
1869,337,1.5,Queens
24,0,1.5,Brooklyn
558,70,1.5,Brooklyn
